num_registro;categoria;establecimiento;hab;plazas;domicilio;barrio;tel;mail;lon;lat
14;3 estrellas;EMBAJADOR;52;104;PELLEGRINI 1181/85;RETIRO;4326-5302 al 11;embajadorhotel@4525hotel.com;-58.3815;-34.5944
165;3 estrellas;IMPERIAL PARK;60;120;LIMA 107 - HIPOLITO YRIGOYEN 108;MONSERRAT;4383-0555;info@imperialparkhotel.com;-58.382;-34.6098
02 A/09;4 estrellas;KER RECOLETA [Ex BLUE TREE RECOLETA KER (ex H.J.RECOLETA)];92;198;MT DE ALVEAR 1368;RECOLETA;5277-4600;reservasrecoleta@kerhoteles.com.ar;-58.3866;-34.5971
120;4 estrellas;REGENTE PALACE HOTEL;139;320;SUIPACHA 0964/66/68;RETIRO;4328-6800;recepcion@regente.com;-58.3799;-34.5969
03 A/09;4 estrellas;EUROBUILDING HOTEL;58;212;LIMA 175/85/87/99;MONSERRAT;53521111;buenosaires@hoteleuro.com;-58.3819;-34.6105
81;4 estrellas;GRAN HOTEL DORA;93;207;MAIPU 959/63;RETIRO;4312-7391;reservas@dorahotel.com.ar;-58.3769;-34.5968
178;3 estrellas;RIVER HOTEL;42;84;MONTEVIDEO 84/86;SAN NICOLAS;4382-8789 / 4384-8206;reservas@riverhotel.com.ar;-58.3893;-34.6081
180;4 estrellas;GRAN BOULEVARD HOTEL;70;160;BERNARDO DE YRIGOYEN 432;MONSERRAT;5222-9000;ventas@hj9dejulio.com.ar ssuppa@hj9dejulio.com.ar;-58.3726;-34.6091
116;4 estrellas;DAZZLER LIBERTAD (ex BISONTE);76;174;PARAGUAY 1207 /Libertad  902;RETIRO;48165770;gerencia@bisontelibertad.com;-58.3842;-34.5981
138;4 estrellas;BISONTE PALACE HOTEL;62;124;ALVEAR M T 902/910;RETIRO;4328-4751;bispal@fibertel.com.ar;-58.38;-34.5966
53 A/11;3 estrellas;SERENA HOTEL BUENOS AIRES;34;107;LIBERTAD 1617/19;RETIRO;4813-3226;recepcion@serenahoteles.com;-58.3834;-34.5894
79;3 estrellas;SARMIENTO PALACE HOTEL;100;230;SARMIENTO 1953/55;BALVANERA;4953-3404 / 13;reservas@hotelsarmiento.com.ar ;-58.3944;-34.6058
55;3 estrellas;ALPINO HOTEL;35;140;CABELLO 3316/18;PALERMO;4802-5151;hotelalpino@fibertel.com.ar;-58.4079;-34.5817
7;2 estrellas;RODNEY  HOTEL;54;96;JUNIN 35/37;BALVANERA;4953-3232;administración@hotelrodney.com.ar;-58.3963;-34.609
137;1 estrellas;HISPANO ARGENTINO;36;69;CATAMARCA 167/71;BALVANERA;4931-5543 / 4932-3980;contacto@hhispanohotel.com.arbobohotel.com;-58.4071;-34.6121
71;1 estrellas;CONDOR HOTEL;53;106;LA RIOJA 258/264;BALVANERA;4932-7626;hotelcondor@hotmail.com;-58.4086;-34.6134
229;1 estrellas;248 FINISTERRA;12;23;Baez 248;PALERMO;4773-0901/4776-8777;info@248finisterra.com;-58.4306;-34.5724
67-A/11;1 estrellas;AYRES PORTEÑOS TANGO SUITES;28;56;CHACABUCO 615;SAN TELMO;1553766949 4307-0802 ;tangosuites@ayresportenos.com.ar ;-58.3761;-34.6151
129;1 estrellas;ALFA;52;120;RIOBAMBA 1064;RECOLETA;4812-2889 / 3719;reservas@alfahotel.com.ar;-58.3948;-34.5965
46;1 estrellas;AVENIDA PETIT HOTEL;51;97;AV DE MAYO 1347;MONSERRAT;4381-2428 / 7831;avenidapetit@gmail.com;-58.3855;-34.6093
505;1 estrellas;BOHEMIA BUENOS AIRES HOTEL;17;39;PERÚ 845;SAN TELMO;4115-2561/2566;info@bohemiabuenosaires.com.ar;-58.3744;-34.6179
128;1 estrellas;CASTELLI 75;24;45;CASTELLI 75;BALVANERA;4952-9003 / 8584;refacciones desconecrado;-58.4046;-34.6091
35;1 estrellas;CEVALLOS PALACE HOTEL;30;64;VIRREY CEVALLOS 261;MONSERRAT;4372-7636;hotelcevallos@hotmail.com ;-58.389;-34.6119
113;1 estrellas;DU HELDER HOTEL;69;128;RIVADAVIA 0857;SAN NICOLAS;4345-4908;hotelduhelder@hotmail.com  ferabdala04@hotmail.com;-58.3786;-34.6082
131;1 estrellas;EL CASTILLO HOTEL;25;54;ALVEAR M T 1813;RECOLETA;4813-2048;recepcion@hotel-elcastillo.com.ar ;-58.3935;-34.5972
135;1 estrellas;FIORENTINO HOTEL;30;64;URQUIZA 187;BALVANERA;4932-9641 / 4931-1368;;-58.4101;-34.6126
186;1 estrellas;FROSSARD HOTEL;18;33;TUCUMAN 686;SAN NICOLAS;4322-1811;info@hotelfrossard.com.ar reservas@hotelfrossard.com.ar;-58.3764;-34.6011
146;1 estrellas;KEY'S HOTEL;25;50;ZAPATA 315;PALERMO;4778-3233;hotelkeys@ciudad.com.ar;-58.4409;-34.5736
64-A/11;1 estrellas;LA FRESQUE;34;95;AV. DE MAYO 984;MONSERRAT;43313615;info@lafrequehotel.com;-58.3803;-34.6091
136;1 estrellas;LLANO;27;101;H. YRIGOYEN 3023;BALVANERA;4861-1672;llanogabriel@hotmail.com;-58.4091;-34.6115
44;1 estrellas;MILAN;45;96;MONTEVIDEO 337;SAN NICOLAS;4373-0759 / 4374-1906;info@milanhotel.com.ar;-58.3893;-34.6049
153;1 estrellas;MORDOMO;22;42;CIUDAD DE LA PAZ 2942;NUÑEZ;4544-2711 / 4545-1263;hotelmordomo@yahoo.com.ar;-58.4641;-34.5557
506;1 estrellas;OMEGA;19;34;PARAGUAY 2991;RECOLETA;4962-5431;info@hotelomega.com.ar;-58.4094;-34.5957
227;1 estrellas;ONZÉ HOTEL;12;28;ECUADOR 1644;RECOLETA;4821-2873 / 4821-2874;info@onzeboutiquehotel.com;-58.4027;-34.5917
61;1 estrellas;PRINCE HOTEL;44;92;ARENALES 1627;RECOLETA;4811-8004;princehotel@arnet.com.ar;-58.3906;-34.595
42;1 estrellas;QUITO;15;40;ALSINA 2737;BALVANERA;4957-5056;;-58.4049;-34.6123
97;1 estrellas;RIO DE LA PLATA;39;83;GARAY 1271;CONSTITUCION;4305-3191 / 4306-8689;;-58.3839;-34.6269
121;1 estrellas;TURISTA HOTEL;32;72;AV DE MAYO 686;SAN NICOLAS;4331-2281 / 2485;turistahotel@yahoo.com.ar;-58.3762;-34.6088
234;2 estrellas; AIRES EXPRESS ;50;70;BARTOLOMÉ MITRE 3410;ALMAGRO;4867-1265 / 4860-0204;airesexpress@speedy.com.ar;-58.4148;-34.6094
208;2 estrellas;AMERICANO HOTEL;43;86;RODRIGUEZ PEÑA 265;SAN NICOLAS;4382-4223;info@hotelamericano.com.ar;-58.3907;-34.606
140;2 estrellas;ASTORIA;60;132;AV DE MAYO 916;MONSERRAT;4334-9061 / 5;hotelastoria916@hotmail.com;-58.3794;-34.609
16;2 estrellas;AYACUCHO PALACE HOTEL;64;116;AYACUCHO 1408;RECOLETA;4806-1815;reservas@ayacuchohotel.com.ar;-58.3949;-34.5926
109;2 estrellas;AYAMITRE HOTEL;40;89;AYACUCHO 106;BALVANERA;4953-1655 / 5733;reservas@hotelayamitre.com.ar;-58.395;-34.608
63-A/11;2 estrellas;BE HOLLYWOOD;30;85;HUMBOLDT 1716;PALERMO;55558100;nicolas@behollywood.com front@behollywood.com;-58.4352;-34.5846
142;2 estrellas;BLANRO;51;118;JUNIN 759;BALVANERA;4374-2000 / 0604;reservas@hotelblanro.com.ar;-58.3971;-34.6003
56;2 estrellas;CECIL HOTEL;40;86;AV DE MAYO 1239;MONSERRAT;4383-3511;cecilhotel@hotmail.com;-58.384;-34.6091
45;2 estrellas;CHILE;68;119;AV. DE MAYO 1297;MONSERRAT;4383-7877 / 1333;reseras@hotelchile.com.ar;-58.3847;-34.6092
115;2 estrellas;COMFORT HOTEL;36;72;VIAMONTE 1501;SAN NICOLAS;4814-4917;hotelcomfortbaires@gmsil.com ;-58.3882;-34.6006
18;2 estrellas;EL MOLINO HOTEL;60;112;CALLAO 164;BALVANERA;4374-9112;molinohotel@hotmail.com;-58.3922;-34.6073
163;2 estrellas;ESPERIA;51;101;URQUIZA 222;BALVANERA;4957-3937;hotelesperia@ciudad.com.ar;-58.41;-34.613
15 A/09;2 estrellas;ESPLENDOR PALERMO SOHO;27;88;GUATEMALA 4931;PALERMO;4899-4000;reservasweb@esplendorpalermohollywood.com;-58.4265;-34.5846
84;2 estrellas;FIDES PALACE HOTEL;60;136;PAVON 1281;CONSTITUCION;4305-5037 /38/39;CERRADO;-58.384;-34.626
70;2 estrellas;GRAN HOTEL ATLANTIC;71;139;CASTELLI 45;BALVANERA;4951-0081;reservas@hotelatlantic.com.ar;-58.4046;-34.6094
62;2 estrellas;GRAN HOTEL HISPANO;53;108;AV DE MAYO 861;MONSERRAT;4342-4431;hhispano@hhispano.com.ar;-58.3786;-34.6089
74;2 estrellas;GRAN VEDRA;33;61;AV DE MAYO 1350;MONSERRAT;4383-0584;info@hotelvedra.com.ar, mariela@hotelvedra.com.ar;-58.3854;-34.6094
150;2 estrellas;GUIDO PALACE HOTEL;23;48;GUIDO 1780;RECOLETA;4812-0674 / 0841;totelguidopalace@hotmail.com.ar;-58.3897;-34.5903
200;2 estrellas;HOTEL  AVENIDA;34;72;AVENIDA DE MAYO 623;MONTSERRAT;4342-5664;havenida@ciudad.com.ar;-58.3753;-34.6086
209;2 estrellas;HOTEL CARRARA;31;57;AV. RIVADAVIA 2307 ;BALVANERA;4952-1888;info@hotelcarrara.com.ar;-58.3993;-34.6096
198;2 estrellas;HOTEL CENTRAL;44;88;SOLIS 192;MONSERRAT;4373-8785;;-58.3903;-34.6113
203;2 estrellas;HOTEL STAR;18;38;ECUADOR 12;BALVANERA;4866-0333;;-58.4089;-34.6101
69;2 estrellas;KING'S HOTEL;50;99;CORRIENTES 623;SAN NICOLAS;4322-8461 / 8161;reservas@kingshotel.com.ar;-58.3755;-34.6033
49;2 estrellas;LA AVENTURA HOTEL (ex LAS FAMILIAS);50;85;ITUZAINGO 763;BARRACAS;4362-0519;;-58.3749;-34.631
100;2 estrellas;LISBOA;46;97;MITRE BARTOLOME 1282;SAN NICOLÁS ;4381-2152;consulta@lisboapalace.com.ar;-58.3846;-34.6075
171;2 estrellas;LOS TRES REYES;44;102;BRASIL 423;SAN TELMO;4300-9456;hotel_tresreyes@yahoo.com;-58.3715;-34.6253
103;2 estrellas;MADRID HOTEL;46;96;AV DE MAYO 1137;MONSERRAT;4381-9021;gerencia@hotelmadrid.com.ar;-58.3826;-34.6091
60;2 estrellas;MARBELLA HOTEL;78;154;AV DE MAYO 1261;MONSERRAT;4383-8566;info@hotelmarbella.com.ar;-58.3843;-34.6092
05 A/09;2 estrellas;MINE HOTEL BOUTIQUE;20;49;GORRITI 4770;PALERMO;4832-1100;info@minehotel.com;-58.4288;-34.591
231;2 estrellas;MARI PLAZA HOTEL;27;57;Bartolomé Mitre 2021;BALVANERA;4952-8359;info@mariplazahotel.com.ar;-58.3953;-34.6081
27;2 estrellas;NOVEL HOTEL;46;72;AV DE MAYO 915;MONSERRAT;4345-3532;info@novelhotel.com.ar;-58.3794;-34.6088
34;2 estrellas;NUEVO MUNDIAL HOTEL;97;201;AV DE MAYO 1298;MONSERRAT;4383-0011;reservas@mundialhotel.com.ar;-58.3848;-34.6093
64;2 estrellas;PANAME;56;109;GODOY CRUZ 2774;PALERMO;4771-4041;info@panamehotel.com.ar;-58.4247;-34.5779
127;2 estrellas;PRINCIPE NORTE HOTEL;22;45;LAPRIDA 1454;RECOLETA;4821-9818;principe@hotel-principe.com.ar;-58.4056;-34.5921
59;2 estrellas;REAL SPLENDID;42;76;FALCON 2799;FLORES;4611-3279;realsplendidhotel@ciudad.com.ar;-58.4676;-34.6317
147;2 estrellas;RECOLETA HOTEL;37;63;PAGANO J.L. 2684;RECOLETA;4802-7318;reservas@hotel-recoleta.com.ar;-58.3997;-34.5839
75;2 estrellas;RIO HOTEL;31;72;SALGUERO J. 218;ALMAGRO;4983-8837;info@hotelrio.com.ar;-58.42;-34.6083
39;2 estrellas;RITZ;35;75;AV DE MAYO 1111;MONSERRAT;4383-9001;info@ritzhotel-ba.com;-58.3822;-34.609
192;2 estrellas;SUIPACHA INN;28;56;SUIPACHA 515;SAN NICOLAS;4322-0099;reservas@hotelsuipacha.com.ar;-58.3795;-34.6022
24;2 estrellas;TERMINE HOTEL;55;102;CASTELLI 61;BALVANERA;4951-0071;terminehotel@yahoo.com;-58.4046;-34.6093
124;2 estrellas;TRES SARGENTOS HOTEL;56;125;TRES SARGENTOS 345;RETIRO;4312-6081;info@hoteltressargentos.com.ar;-58.3723;-34.5978
32;2 estrellas;TUCUMAN PALACE HOTEL;56;126;TUCUMAN 384;SAN NICOLAS;4311-3555;reservas@tucumanpalace.com.ar;-58.3722;-34.6009
184;3 estrellas;ATLAS TOWER;72;144;AV CORRIENTES 1778;SAN NICOLAS;4371-9371 / 5217;ventas@atlastower.com.ar;-58.3919;-34.6045
182;3 estrellas;BEL AIR BS AS HOTEL;77;154;ARENALES 1462;RECOLETA;4021-4000;reservas@hotelbelair.com.ar;-58.388;-34.5947
23;3 estrellas;BA CENTRAL HOTEL;78;190;JUNIN 357;BALVANERA;4953-4455 / 4071;bwcentralhotel@gmail.com;-58.3967;-34.6052
09 A/09;3 estrellas;D´ ARTIST HOTEL BOUTIQUE;39;112;PERON 838;SAN NICOLAS;52526210/1/2/3;recepcion@hoteldartist.com;-58.3786;-34.606
126;3 estrellas;ECUADOR HOTEL;51;97;ALSINA 2820;BALVANERA;4956-0532 / 33;hotelecuador@speedy.com.ar ;-58.4059;-34.6125
130;3 estrellas;ELEVEN PALACE HOTEL;62;114;LA RIOJA 87;BALVANERA;4864-5097 al 99;info@hoteleleven.com.ar;-58.4088;-34.6113
73;3 estrellas;ESMERALDA PALACE HOTEL;70;157;ESMERALDA 527;SAN NICOLAS;5811-0317/22;reservas@hotel-esmeralda.com.ar;-58.3781;-34.602
61 A/11;3 estrellas;EUROPLAZA HOTEL & SUITES;37;76;MONTEVIDEO 327;SAN NICOLÁS ;43714272 - 50327679/7699;info@europlaza.com.ar;-58.3893;-34.6053
